Title,Salary,Available In Stock,Category
It's Only the Himalayas,£45.17,19,travel
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,15,travel
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,14,travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,8,travel
Under the Tuscan Sun,£37.33,7,travel
A Summer In Europe,£44.34,7,travel
The Great Railway Bazaar,£30.54,6,travel
A Year in Provence (Provence #1),£56.88,6,travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,3,travel
Neither Here nor There: Travels in Europe,£38.95,3,travel
"1,000 Places to See Before You Die",£26.08,1,travel
Sharp Objects,£47.82,20,mystery
"In a Dark, Dark Wood",£19.63,18,mystery
The Past Never Ends,£56.50,16,mystery
A Murder in Time,£16.64,16,mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,15,mystery
The Last Mile (Amos Decker #2),£54.21,14,mystery
That Darkness (Gardiner and Renner #1),£13.92,14,mystery
Tastes Like Fear (DI Marnie Rome #3),£10.69,14,mystery
A Time of Torment (Charlie Parker #14),£48.35,14,mystery
A Study in Scarlet (Sherlock Holmes #1),£16.73,14,mystery
Poisonous (Max Revere Novels #3),£26.80,12,mystery
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,12,mystery
Most Wanted,£35.28,12,mystery
Hide Away (Eve Duncan #20),£11.84,12,mystery
Boar Island (Anna Pigeon #19),£59.48,12,mystery
The Widow,£27.26,11,mystery
Playing with Fire,£13.71,11,mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,7,mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,7,mystery
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,7,mystery
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,6,mystery
In the Woods (Dublin Murder Squad #1),£38.38,6,mystery
The Silkworm (Cormoran Strike #2),£23.05,3,mystery
The Exiled,£43.45,3,mystery
The Cuckoo's Calling (Cormoran Strike #1),£19.21,3,mystery
Extreme Prey (Lucas Davenport #26),£25.40,3,mystery
Career of Evil (Cormoran Strike #3),£24.72,3,mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,1,mystery
The Girl You Lost,£12.29,1,mystery
The Girl In The Ice (DCI Erika Foster #1),£15.85,1,mystery
Blood Defense (Samantha Brinkman #1),£20.30,1,mystery
1st to Die (Women's Murder Club #1),£53.98,1,mystery
The Secret Garden,£15.08,5,classics
The Metamorphosis,£28.58,5,classics
The Pilgrim's Progress,£50.26,4,classics
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,4,classics
Little Women (Little Women #1),£28.07,4,classics
Gone with the Wind,£32.49,4,classics
Candide,£58.63,4,classics
Animal Farm,£57.22,4,classics
Wuthering Heights,£17.73,3,classics
The Picture of Dorian Gray,£29.70,3,classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,3,classics
Beowulf,£38.35,3,classics
And Then There Were None,£35.01,3,classics
The Story of Hong Gildong,£43.19,1,classics
The Little Prince,£45.42,1,classics
Sense and Sensibility,£37.46,1,classics
Of Mice and Men,£47.11,1,classics
Emma,£32.93,1,classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,1,classics
Sophie's World,£15.94,18,philosophy
